Name            | Accuracy  | Precision | Recall    | f1-Score  | Kappa     |
Fox             | 0.994     | 0.967     | 0.986     | 0.976     | 0.97      |
Deer            | 0.985     | 0.998     | 0.972     | 0.985     | 0.97      |
Weasel          | 0.996     | 0.984     | 0.985     | 0.984     | 0.97      |
Bird            | 0.996     | 0.949     | 0.984     | 0.966     | 0.97      |
Lynx            | 0.999     | 0.974     | 0.993     | 0.983     | 0.97      |
Cat             | 0.999     | 0.949     | 0.977     | 0.963     | 0.97      |
Sheep           | 0.999     | 0.953     | 0.998     | 0.975     | 0.97      |
Rodent          | 0.992     | 0.951     | 0.98      | 0.965     | 0.97      |
Cattle          | 0.998     | 0.612     | 1.0       | 0.759     | 0.97      |
Boar            | 1.0       | 0.872     | 1.0       | 0.932     | 0.97      |
Wolf            | 0.999     | 0.898     | 0.992     | 0.943     | 0.97      |
Bear            | 1.0       | 0.8       | 1.0       | 0.889     | 0.97      |
